Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34025,La Bruyère,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,9.0,9.45673733804474,µg-m3,99.0,98.0,97.0,R,1,47.419083,0.682944
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34028,Pompidou,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,22.0,22.035150936642506,µg-m3,96.0,99.0,96.0,R,1,47.394639,0.704861
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34029,La_Source-CNRS,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,6.0,6.489239268040075,µg-m3,99.0,100.0,99.0,R,1,47.83775,1.944667
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34030,Bourges-Baffier,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,12.0,12.249679266895711,µg-m3,100.0,100.0,100.0,R,1,47.075044,2.407183
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34032,Leblanc,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,8.0,8.476271186440682,µg-m3,99.0,100.0,99.0,R,1,47.082778,2.405333
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34038,Verneuil,Rurale nationale,NO2,Fond,Oui,mesures fixes,Moy. annuelle,3.0,3.1843460350154444,µg-m3,100.0,100.0,100.0,R,1,46.814694,2.610069
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34043,Oysonville,Rurale régionale,NO2,Fond,Oui,mesures fixes,Moy. annuelle,6.0,6.147402745995453,µg-m3,100.0,100.0,100.0,R,1,48.391139,1.955611
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34046,Dreux Centre,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,8.0,7.780804953560366,µg-m3,100.0,100.0,100.0,R,1,48.729694,1.358472
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34047,Saint-Remy,Périurbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,24.0,23.885277136258704,µg-m3,99.0,100.0,99.0,R,1,48.760889,1.233639
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34048,Chartres_trafic,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,14.0,13.900613142063856,µg-m3,99.0,99.0,99.0,R,1,48.449158,1.492469
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34051,Chateauroux Sud,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,8.0,7.981203097081603,µg-m3,96.0,100.0,96.0,R,1,46.798278,1.693139
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,8.0,7.990423340961134,µg-m3,100.0,100.0,100.0,R,1,47.594256,1.302667
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34063,Blois_trafic,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,21.0,20.523031856462826,µg-m3,96.0,97.0,94.0,R,1,47.586544,1.326533
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34064,Montargis_trafic,Urbaine,NO2,Trafic,Oui,mesures fixes,Moy. annuelle,23.0,23.36021286773504,µg-m3,99.0,97.0,95.0,R,1,48.006936,2.740111
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34065,Montargis Fond,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,12.429092373173846,µg-m3,99.0,100.0,99.0,R,1,47.996994,2.731511
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35002,ST JUNIEN - Fontaine,Urbaine,NO2,Fond,Oui,mesures fixes,Moy. annuelle,6.0,5.946393093661294,µg-m3,97.0,100.0,97.0,R,1,45.884851,0.898431
